,open,close,high,low,total_turnover,volume
2009/7/8,7.5687,7.6295,7.714,7.4538,840308614.6,103837964
2009/7/9,7.6261,7.6565,7.6937,7.4876,716148685.7,88361136
2009/7/10,7.6633,7.6971,7.7951,7.6025,673110963,81499157
2009/7/13,7.6531,7.4774,7.6531,7.4774,623127061.8,77214234
2009/7/14,7.518,7.7207,7.7444,7.518,658655481,80031529
2009/7/15,7.741,7.7646,7.8795,7.6937,645874901.9,77658341
2009/7/16,7.8593,7.9606,8.062,7.7477,1285357752,150922809
2009/7/17,7.9606,7.9302,8.0248,7.7714,663508321.7,78573882
2009/7/20,7.9302,8.0012,8.0012,7.7545,878859612.3,104376564
2009/7/21,7.9471,7.7545,8.1059,7.7511,1097625142,129835000
2009/7/22,7.7241,7.7984,7.8559,7.67,955451708.8,115295677
2009/7/23,7.7883,7.8255,7.9539,7.6194,1253467286,150442074
2009/7/24,7.8829,7.67,7.9032,7.6025,1026109242,123940175
2009/7/27,7.7106,7.8052,7.9539,7.7038,884331759.8,105577372
2009/7/28,7.8322,7.8052,8.0687,7.7038,1412429949,166794904
2009/7/29,7.8728,8.0417,8.5148,7.6937,3296629435,377411418
2009/7/30,8.2309,8.8459,8.8459,8.2309,4821610963,517492482
2009/7/31,8.8459,8.8459,8.8459,8.8459,0,0
2009/8/3,8.7344,8.7344,8.7411,8.4168,2517751530,275093179
2009/8/4,8.6567,8.4607,8.6769,8.2951,1713961824,190092303
2009/8/5,8.3999,8.5012,8.7006,8.3458,1177478209,128952097
2009/8/6,8.3559,8.1059,8.3627,7.9572,1171305437,134198545
2009/8/7,8.1127,7.9505,8.2951,7.9234,777062534,89568732
2009/8/10,8.0687,7.7579,8.1397,7.6058,1065654832,127234050
2009/8/11,7.7883,7.7984,7.8761,7.6025,563547822.3,67787458
2009/8/12,7.7613,7.5585,7.9268,7.4876,833650651.5,100829245
2009/8/13,7.545,7.8626,7.8795,7.4639,881036939.7,106729193
2009/8/14,7.8052,7.67,7.9167,7.5349,701501146.2,84802175
